Longitude	Latitude	Feld	Datensatz	Produkt	Obj.-ID	Entfernung(m)	Kette(deg)	Dauer(s)	Elevation(m)	Zeit	FlÃ¤chenzÃ¤hler	Schw.breite(m)	Diff.-Status	Fruchtdurchs. (M)(tonne/h)	Feuchtigkeit(%)	Ertr.masse (Nass)(tonne/ha)	Ert.vol. (Nass)(L/ha)	Ertr.masse (Tr.)(tonne/ha)	Ertr.vol (Tr.)(L/ha)	Betriebszustand	Y-Offset(m)	Durchg.nr.	Tempo(km/h)	Prod.(ha/h)	Fruchtdurchs. (V)(mÂ³/s)	Datum
11.64606417	48.39771989	RK	18/07/26-17:15:02	WEIZEN	82.0	1.944	203.5	1.0	491.12	26.07.2018	Ein	5.9	Ja	14.39	13.5	3.484	4511.1	3.484	4511.1	Eingang	0.00031	7.0	6.997999999999999	4.129	0.0052	26.07.2018
11.64605455	48.39770517	RK	18/07/26-17:15:02	WEIZEN	83.0	1.972	203.0	1.0	491.33	26.07.2018	Ein	5.9	Ja	14.39	13.5	3.435	4447.0	3.435	4447.0	Eingang	0.00021	7.0	7.099	4.189	0.0052	26.07.2018
11.64604498	48.39769022	RK	18/07/26-17:15:02	WEIZEN	84.0	1.972	203.3	1.0	491.54	26.07.2018	Ein	5.9	Ja	14.3	13.5	3.4139999999999997	4420.8	3.4139999999999997	4420.8	Eingang	-0.00013000000000000002	7.0	7.099	4.189	0.0051	26.07.2018
11.64603558	48.3976757	RK	18/07/26-17:15:02	WEIZEN	85.0	1.972	203.1	1.0	491.74	26.07.2018	Ein	5.9	Ja	13.96	13.5	3.333	4315.9	3.333	4315.9	Eingang	0.00043	7.0	7.099	4.189	0.005	26.07.2018
11.64602591	48.39766062	RK	18/07/26-17:15:02	WEIZEN	86.0	1.972	201.8	1.0	491.94	26.07.2018	Ein	5.9	Ja	12.73	13.5	3.0389999999999997	3935.4	3.0389999999999997	3935.4	Eingang	0.00039	7.0	7.099	4.189	0.0046	26.07.2018
11.64601714	48.39764608	RK	18/07/26-17:15:02	WEIZEN	87.0	1.944	201.2	1.0	492.14	26.07.2018	Ein	5.9	Ja	11.63	13.5	2.8160000000000003	3646.1	2.8160000000000003	3646.1	Eingang	-0.00036	7.0	6.997999999999999	4.129	0.0042	26.07.2018
11.64600849	48.39763123	RK	18/07/26-17:15:02	WEIZEN	88.0	1.972	200.0	1.0	492.37	26.07.2018	Ein	5.9	Ja	12.22	13.5	2.918	3778.0	2.918	3778.0	Eingang	0.00044	7.0	7.099	4.189	0.0044	26.07.2018
11.64600045	48.39761657	RK	18/07/26-17:15:02	WEIZEN	89.0	1.972	199.6	1.0	492.62	26.07.2018	Ein	5.9	Ja	12.65	13.5	3.0189999999999997	3909.2	3.0189999999999997	3909.2	Eingang	-0.0935	7.0	7.099	4.189	0.0045	26.07.2018
11.64599263	48.39760193	RK	18/07/26-17:15:02	WEIZEN	90.0	1.972	200.4	1.0	492.85	26.07.2018	Ein	5.9	Ja	13.07	13.5	3.12	4040.4	3.12	4040.4	Eingang	0.00067	7.0	7.099	4.189	0.0047	26.07.2018
11.64598453	48.39758751	RK	18/07/26-17:15:02	WEIZEN	91.0	1.972	201.6	1.0	493.08	26.07.2018	Ein	5.9	Ja	13.15	13.5	3.141	4066.6	3.141	4066.6	Eingang	0.0431	7.0	7.099	4.189	0.0047	26.07.2018
